序号|股票代码|股票简称|研报数|机构投资评级(近六个月)-买入|机构投资评级(近六个月)-增持|机构投资评级(近六个月)-中性|机构投资评级(近六个月)-减持|机构投资评级(近六个月)-卖出|2024预测每股收益|2025预测每股收益|2026预测每股收益|2027预测每股收益
148|000651|格力电器|22|15.0|7.0|0.0|0.0|0.0|5.74580236827|5.583181818182|5.843636363636|6.177142857143
149|600660|福耀玻璃|22|15.0|7.0|0.0|0.0|0.0|2.873070104806|3.685|4.209545454545|4.864761904762
150|603997|继峰股份|22|15.0|7.0|0.0|0.0|0.0|-0.445505302055|0.389545454545|0.732727272727|0.972857142857
151|300033|同花顺|22|17.0|5.0|0.0|0.0|0.0|3.391493099014|4.938260869565|6.126956521739|7.143636363636
152|002138|顺络电子|22|15.0|7.0|0.0|0.0|0.0|1.031954869416|1.326761904762|1.67680952381|2.06565
153|600096|云天化|22|18.0|4.0|0.0|0.0|0.0|2.925390106117|3.114545454545|3.243636363636|3.36
154|000001|平安银行|22|12.0|9.0|1.0|0.0|0.0|2.293527136716|2.180909090909|2.226363636364|2.307619047619
155|603296|华勤技术|22|18.0|4.0|0.0|0.0|0.0|2.880899965218|4.003318181818|5.017090909091|6.071952380952
156|000807|云铝股份|22|17.0|5.0|0.0|0.0|0.0|1.272123698569|1.860227272727|2.1925|2.439363636364
157|002624|完美世界|22|13.0|9.0|0.0|0.0|0.0|-0.663700636307|0.410909090909|0.805|0.914761904762
158|603939|益丰药房|22|14.0|8.0|0.0|0.0|0.0|1.260794197934|1.430875|1.6445|1.87147826087
159|603225|新凤鸣|22|17.0|5.0|0.0|0.0|0.0|0.721833772177|0.826363636364|1.177272727273|1.421428571429
160|002241|歌尔股份|22|13.0|9.0|0.0|0.0|0.0|0.751638947828|0.949090909091|1.206363636364|1.467272727273
161|300662|科锐国际|22|16.0|6.0|0.0|0.0|0.0|1.043411240183|1.468636363636|1.750909090909|2.092380952381
162|002563|森马服饰|21|13.0|8.0|0.0|0.0|0.0|0.422183867503|0.346666666667|0.41619047619|0.4825
163|002064|华峰化学|21|14.0|7.0|0.0|0.0|0.0|0.447342200995|0.406047619048|0.550857142857|0.64455
164|002532|天山铝业|21|15.0|6.0|0.0|0.0|0.0|0.957763904522|1.025761904762|1.279238095238|1.46025
165|002311|海大集团|21|18.0|3.0|0.0|0.0|0.0|2.707134845742|3.02380952381|3.474761904762|4.0765
166|002352|顺丰控股|21|16.0|5.0|0.0|0.0|0.0|2.018169946714|2.222904761905|2.605142857143|3.0027
167|600801|华新建材|21|12.0|9.0|0.0|0.0|0.0|1.162234508842|1.428428571429|1.722571428571|1.904666666667
168|601688|华泰证券|21|14.0|7.0|0.0|0.0|0.0|1.700608615084|1.84|2.043|2.267777777778
169|605098|行动教育|21|15.0|6.0|0.0|0.0|0.0|2.252161156082|2.519523809524|2.851904761905|3.208571428571
170|002202|金风科技|21|15.0|6.0|0.0|0.0|0.0|0.440335236857|0.7795|1.04205|1.263210526316
171|002821|凯莱英|21|16.0|5.0|0.0|0.0|0.0|2.631632175957|3.145454545455|3.711818181818|4.421904761905
172|600011|华能国际|21|17.0|4.0|0.0|0.0|0.0|0.645651263578|0.8819|0.9223|0.959315789474
173|603298|杭叉集团|21|9.0|12.0|0.0|0.0|0.0|1.543752556356|1.71419047619|1.926952380952|2.18225
174|002991|甘源食品|21|15.0|6.0|0.0|0.0|0.0|4.035692271091|2.714272727273|3.670909090909|4.316714285714
175|603195|公牛集团|21|13.0|8.0|0.0|0.0|0.0|2.362177180225|2.247545454545|2.422636363636|2.588428571429
176|300378|鼎捷数智|21|16.0|5.0|0.0|0.0|0.0|0.573166367282|0.730476190476|0.910476190476|1.126
177|001328|登康口腔|21|11.0|10.0|0.0|0.0|0.0|0.936143789067|1.127318181818|1.381454545455|1.683523809524
178|603737|三棵树|21|10.0|11.0|0.0|0.0|0.0|0.449893219241|1.279772727273|1.622136363636|1.993476190476
179|600585|海螺水泥|21|12.0|9.0|0.0|0.0|0.0|1.45228883127|1.746666666667|1.968095238095|2.1355
180|002001|新和成|21|12.0|9.0|0.0|0.0|0.0|1.909450312923|2.147952380952|2.33480952381|2.56805
181|300433|蓝思科技|20|16.0|4.0|0.0|0.0|0.0|0.68578279921|0.96285|1.28675|1.568736842105
182|002558|巨人网络|20|16.0|4.0|0.0|0.0|0.0|0.73647823691|1.1685|1.9275|2.201578947368
183|002837|英维克|20|11.0|9.0|0.0|0.0|0.0|0.463531462681|0.670142857143|1.065|1.5371
184|002555|三七互娱|20|16.0|4.0|0.0|0.0|0.0|1.208288490092|1.3745|1.468|1.578947368421
185|300957|贝泰妮|20|10.0|9.0|1.0|0.0|0.0|1.187567483782|1.13|1.4155|1.612631578947
186|600938|中国海油|20|18.0|2.0|0.0|0.0|0.0|2.902085704658|2.7811|2.8397|2.95
187|688072|拓荆科技|20|11.0|9.0|0.0|0.0|0.0|2.447521356171|3.6985|5.8995|8.3745
188|600779|水井坊|20|10.0|10.0|0.0|0.0|0.0|2.750810626272|1.35165|1.5003|1.7489
189|600795|国电电力|20|17.0|3.0|0.0|0.0|0.0|0.551201261098|0.411|0.452|0.487894736842
190|688208|道通科技|20|15.0|5.0|0.0|0.0|0.0|0.956342926593|1.309047619048|1.66380952381|2.0725
191|605338|巴比食品|20|15.0|5.0|0.0|0.0|0.0|1.154556759362|1.1835|1.32|1.450526315789
192|603596|伯特利|20|18.0|2.0|0.0|0.0|0.0|1.993124051423|2.36115|3.01155|3.79135
193|688018|乐鑫科技|20|14.0|6.0|0.0|0.0|0.0|2.03014129864|3.3399|4.49725|5.8229
194|600761|安徽合力|20|15.0|5.0|0.0|0.0|0.0|1.481578886291|1.6042|1.79365|2.027947368421
195|300454|深信服|20|14.0|6.0|0.0|0.0|0.0|0.468035678234|1.0265|1.4635|1.846315789474
196|600900|长江电力|20|16.0|4.0|0.0|0.0|0.0|1.328097256034|1.39245|1.4645|1.517210526316
197|300394|天孚通信|20|18.0|2.0|0.0|0.0|0.0|1.728189825322|2.799105263158|3.962263157895|5.021315789474
198|603338|浙江鼎力|20|13.0|7.0|0.0|0.0|0.0|3.216770962341|4.033|4.6495|5.348947368421
199|600258|首旅酒店|20|11.0|9.0|0.0|0.0|0.0|0.722112680428|0.782|0.8845|0.977894736842
200|688981|中芯国际|20|17.0|3.0|0.0|0.0|0.0|0.462316685481|0.642105263158|0.767368421053|0.921052631579
201|002078|太阳纸业|19|14.0|5.0|0.0|0.0|0.0|1.109757536463|1.2175|1.38965|1.570473684211
202|002156|通富微电|19|15.0|4.0|0.0|0.0|0.0|0.446487672314|0.773157894737|1.002631578947|1.230526315789
203|300832|新产业|19|12.0|7.0|0.0|0.0|0.0|2.327113279174|2.758095238095|3.25|3.921
204|600346|恒力石化|19|14.0|5.0|0.0|0.0|0.0|1.000634802423|1.061578947368|1.312631578947|1.551666666667
205|601166|兴业银行|19|9.0|9.0|1.0|0.0|0.0|3.648137793212|3.616666666667|3.71|3.854705882353
206|600183|生益科技|19|14.0|5.0|0.0|0.0|0.0|0.715761291413|1.382105263158|2.036842105263|2.7
207|601728|中国电信|19|14.0|5.0|0.0|0.0|0.0|0.360759503327|0.381111111111|0.404444444444|0.426470588235
208|600933|爱柯迪|19|14.0|5.0|0.0|0.0|0.0|0.912028482697|1.184210526316|1.445789473684|1.716111111111
209|603885|吉祥航空|19|14.0|5.0|0.0|0.0|0.0|0.418627356502|0.509052631579|0.804421052632|1.047
210|002507|涪陵榨菜|19|12.0|7.0|0.0|0.0|0.0|0.692723347769|0.709473684211|0.760526315789|0.813888888889
211|300124|汇川技术|19|13.0|6.0|0.0|0.0|0.0|1.583311730802|2.067105263158|2.480473684211|2.951388888889
212|002493|荣盛石化|19|14.0|5.0|0.0|0.0|0.0|0.072525038739|0.188947368421|0.353157894737|0.507777777778
213|002444|巨星科技|19|14.0|5.0|0.0|0.0|0.0|1.928561209367|2.18|2.625263157895|3.106111111111
214|601668|中国建筑|19|13.0|6.0|0.0|0.0|0.0|1.117779829854|1.151578947368|1.186315789474|1.232777777778
215|002273|水晶光电|19|14.0|5.0|0.0|0.0|0.0|0.740560740668|0.883157894737|1.063157894737|1.257777777778
216|600066|宇通客车|19|12.0|7.0|0.0|0.0|0.0|1.859217443613|2.181052631579|2.525789473684|2.907222222222
217|600919|江苏银行|19|14.0|5.0|0.0|0.0|0.0|1.735199716195|1.834210526316|2.003157894737|2.187222222222
218|000528|柳工|19|18.0|1.0|0.0|0.0|0.0|0.652981655123|0.858631578947|1.175736842105|1.533555555556
219|605090|九丰能源|19|13.0|6.0|0.0|0.0|0.0|2.421720859054|2.334210526316|2.686315789474|3.073157894737
